time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
2.000,18,19,7,-735.293,47.897,0.000,0.287,0,-80.127,-88.568,-82.707,-94.639,-92.361,-88.123,-74.122,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,19,20,6,101.216,971.396,0.000,0.819,0,-84.722,-85.904,-73.219,-85.349,-70.175,-48.963,-80.717,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,20,21,2,1189.200,-197.318,0.000,0.057,0,-88.156,-79.679,-90.346,-79.807,-90.381,-93.647,-94.948,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,21,22,7,-622.517,905.095,0.000,0.377,0,-86.640,-91.080,-80.256,-93.499,-87.051,-77.566,-71.100,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,22,23,5,1123.566,1274.970,0.000,0.254,0,-93.762,-90.822,-90.184,-81.154,-78.854,-87.483,-94.692,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,23,24,1,-176.074,11.177,0.000,0.819,0,-57.004,-78.726,-74.435,-89.054,-88.053,-85.179,-76.406,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,24,25,7,-550.905,7.957,0.000,0.229,0,-75.390,-85.918,-80.167,-93.052,-91.117,-87.170,-73.636,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
3.000,0,1,7,-368.633,464.610,0.000,0.819,0,-76.590,-84.862,-68.932,-90.234,-85.436,-78.084,-52.915,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,1,2,1,-289.928,-78.866,0.000,0.819,0,-65.546,-81.342,-78.018,-90.759,-89.848,-86.915,-77.202,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
3.000,2,3,2,593.775,218.983,0.000,0.524,0,-77.648,-61.803,-78.255,-73.613,-81.193,-84.796,-87.091,0.025,0.030,0.015,0.036,0.017,0.011,0.024,3,5,2,4,5,2,4
